Al Broullire Memorial Park;44.012607,-88.537946
Ames Point;44.032075,-88.512547
Average Size Mosquito In Wisco;44.033491,-88.557488
Bauman Park;44.031482,-88.564614
Bender Memorial Monument;43.994747,-88.584448
Bethany United Church of Christ;43.991803,-88.540228
Bethlehem Lutheran Church;44.032322,-88.545755
Bridge Dedicated to Harvey Ackerman;43.990545,-88.536571
Bur Oak In Memory Of Harry I. Miller;44.034707,-88.517848
Campus Ministry;44.023867,-88.547383
Carl Schurz Monument;44.017756,-88.51642
Carl Steiger Park;44.019767,-88.550524
Christmas Box Angel of Hope;44.030441,-88.571762
Cooper Wells Bridge;44.021896,-88.518704
DC3;43.985702,-88.579515
Dempsey Hall;44.02651,-88.551118
Dennis J Noone Jr Memorial;43.988274,-88.568775
Derber Family Memorial Area;43.981604,-88.535829
Edgar Sawyer House;44.0336,-88.55784
Ellenwood Plaque 1851-1932;43.994997,-88.582973
Emmanuel United Church of Christ;44.006342,-88.549877
Exhibit Hangar C;43.980226,-88.564587
F-89 Static Display;43.983146,-88.578963
First Baptist Temple;44.02078,-88.539804
First English Lutheran Church;44.0090, -88.5454
First Evangelical Church;44.017592,-88.529421
Frederick March Sculpture Of A Pillar;44.029118,-88.553567
Fredric March Theatre;44.028676,-88.552936
Halsey Science Center;44.028434,-88.550533
IEAA Brown Arch;43.981601,-88.559092
Immanuel Lutheran Church;44.02281,-88.57212
In Memory of S. Neal Hartwell;44.021099,-88.516835
Jet Engine Sculpture;43.978896,-88.568492
John and Ethel Keller Pavilion;44.035178, -88.606475
John H. Galica;43.983123,-88.570968
Kimberly Place Lion;44.012258,-88.542685
Lakeshore Golf Course;44.0385,- 88.5702
Leach Amphitheater;44.013688,-88.534746
Library;44.017781,-88.536246
Lichtfuss Memorial;43.982403,-88.536467
Lil' Wis Invites You;44.058618, -88.570876
Lincoln hall;44.023171,-88.54718
Lion Sculpture;44.017821,-88.535852
Lion Statue At City Hall;44.020188,-88.541726
Little Free Library;43.99661,-88.536304
Lockheed Shooting Star;43.981109,-88.581711
Menominee Park Carousel ;44.022579,-88.517825
Menominee Park Zoo;44.020456,-88.51938
Menominee Park;44.024602, -88.522029
Mural;44.017254,-88.539094
Nicole Vogel Edwards Memorial Tree;44.036862,-88.511082
Niko's Gyros ;44.02112,-88.546648
Norman Frisch Memorial Bench;44.030227,-88.552649
Northwestern;44.016799,-88.536004
Norway Maple;44.034042, -88.570217
Oldest House;44.00678,-88.55928
Oshkosh City Hall ;44.020342,-88.541308
Oshkosh Inclusive Park;44.007131,-88.555949
Oshkosh West Water Tower;44.012011,-88.584667
Oshkosh World War II Memorial;44.008159,-88.552825
Paine Lumber Barn;44.035244,-88.560796
Patricia A. Nielson;44.019514,-88.543371
Peppler Field;44.025546,-88.577045
Periodic Table of Elements Sculpture;44.027995,-88.551218
Phillips 66 Hangar;43.986027,-88.575813
Pick N Save;44.041104,-88.541907
Pietenpol Hangar;43.986201,-88.574374
Plymouth Congregational Church;44.005719,-88.558034
Rhapsodie's;44.006691, -88.542209
Rising Sun Campus Ministry;44.024187,-88.54489
Robert Pung Memorial Bench;44.035931,-88.510777
Rock Sculptures;44.022362,-88.552688
Saint Andrew's Evangelical Lutheran Church;44.039949,-88.523035
Sawyer Creek Trail;44.029391, -88.572421
Sculpture at Moe's Marine;44.058622, -88.534658
St Joes;44.035267,-88.55156
St Josaphat's Church;44.035267,-88.55156
St. John's Lutheran Church of Oshkosh;44.026897,-88.537452
St. Raphael Archangel Catholic Church;44.013185,-88.593524
St. Vincent De Paul;44.048415,-88.543364
Starbucks;44.040199,-88.540707
Statue of President Lincoln;44.023171,-88.54718
Stevens Park;44.010348, -88.523253
Swart Hall;44.027804,-88.552108
The Daily Northwestern;44.016799,-88.536004
The Gathering Place Campus Ministry;44.023867,-88.547383
The Pride of Oshkosh Lion Heritage;44.017444,-88.585598
Trinity Lutheran Church;44.017438,-88.527221
United States Postal Service;43.995205,-88.563272
Vet Museum Flags;43.960223, -88.581613
Veterans of Foreign Wars Memorial;44.012532,-88.521138
vfw;44.012532,-88.521138
West Algoma Park;44.033755, -88.56997
William Steiger Park;44.017823,-88.552307
Freidauer Memorial;44.065637,-88.516624	Freidauer Memorial
